Year-State,Year,SateAbbreviation,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
2008-NV,2008,NV,Nevada,0.5720000000000001,0.57,0.484,970019.0,967848.0,1696831,2000277,0.141,12743,13337,3908,21366
2008-NH,2008,NH,New Hampshire,0.725,0.7170000000000001,0.696,719643.0,710970.0,992226,1021787,0.026000000000000002,2702,0,0,2702
2008-NJ,2008,NJ,New Jersey,0.677,0.67,0.5820000000000001,3910220.0,3868237.0,5776527,6651284,0.11699999999999999,25953,128737,15849,98246
2008-NM,2008,NM,New Mexico,0.612,0.609,0.551,833365.0,830158.0,1362629,1505830,0.083,6402,20883,3724,18706
2008-NY,2008,NY,New York,0.596,0.59,0.514,7721718.0,7640640.0,12948969,14876971,0.124,60347,0,52225,86460
2008-NC,2008,NC,North Carolina,0.6609999999999999,0.655,0.607,4354571.0,4310789.0,6584302,7096503,0.059000000000000004,39482,109678,3409,96026
2008-ND,2008,ND,North Dakota,0.636,0.627,0.617,321133.0,316621.0,504762,512768,0.013000000000000001,1452,0,0,1452
2008-OH,2008,OH,Ohio,0.6779999999999999,0.669,0.6509999999999999,5773777.0,5698260.0,8513079,8757453,0.022000000000000002,51686,0,0,51686
2008-OK,2008,OK,Oklahoma,0.563,0.5579999999999999,0.528,1474694.0,1462661.0,2619121,2770219,0.04,25864,27940,3073,41371
2008-OR,2008,OR,Oregon,0.6829999999999999,0.677,0.627,1845251.0,1827864.0,2700327,2916246,0.069,14167,0,0,14167
2008-PA,2008,PA,Pennsylvania,0.642,0.636,0.613,6071357.0,6012692.0,9457942,9813664,0.031,49215,0,0,49215
2008-RI,2008,RI,Rhode Island,0.623,0.618,0.5710000000000001,475428.0,471766.0,763608,825786,0.07,4045,0,0,4045
2008-SC,2008,SC,South Carolina,0.5820000000000001,0.58,0.5529999999999999,1927153.0,1920969.0,3311044,3473488,0.034,24326,41254,1947,45927
2008-SD,2008,SD,South Dakota,0.6559999999999999,0.647,0.634,387449.0,381975.0,590720,602539,0.012,3342,0,2720,4702
